Date,Close,Open,High,Low,Volume (in Billion)
2001-01-29,"1,342.05","1,368.55","1,368.55","1,312.10",87.20
2001-01-30,"1,379.70","1,342.10","1,382.55","1,342.05",96.52
2001-01-31,"1,371.70","1,385.85","1,396.05","1,369.00",100.05
2001-02-01,"1,359.15","1,371.50","1,373.50","1,340.95",111.15
2001-02-02,"1,378.85","1,359.10","1,384.90","1,355.30",116.26
2001-02-05,"1,382.60","1,378.80","1,392.15","1,373.45",99.31
2001-02-06,"1,387.10","1,382.70","1,395.40","1,382.70",87.85
2001-02-07,"1,370.80","1,387.30","1,391.85","1,368.05",113.03
2001-02-08,"1,395.50","1,370.65","1,396.80","1,365.05",112.78
2001-02-09,"1,405.70","1,395.55","1,416.30","1,395.55",145.05
2001-02-12,"1,402.20","1,405.70","1,416.45","1,397.60",93.54
2001-02-13,"1,391.20","1,402.20","1,412.70","1,386.65",101.74
2001-02-14,"1,393.35","1,393.15","1,396.35","1,380.65",82.94
2001-02-15,"1,416.70","1,393.35","1,421.00","1,393.35",104.60
2001-02-16,"1,381.35","1,415.85","1,422.95","1,376.15",113.02
2001-02-19,"1,384.80","1,381.40","1,392.05","1,369.45",78.67
2001-02-20,"1,383.85","1,384.85","1,392.80","1,380.40",100.05
2001-02-21,"1,370.10","1,383.90","1,389.55","1,364.25",101.08
2001-02-22,"1,355.10","1,370.05","1,370.05","1,335.65",100.05
2001-02-23,"1,320.45","1,355.10","1,362.80","1,314.10",109.21
2001-02-26,"1,312.40","1,320.90","1,325.20","1,299.05",86.95
2001-02-27,"1,295.55","1,312.45","1,324.00","1,281.90",106.03
2001-02-28,"1,351.40","1,295.30","1,362.25","1,294.60",150.44
2001-03-01,"1,358.05","1,351.75","1,399.55","1,345.05",136.40
2001-03-02,"1,306.35","1,360.25","1,386.75","1,301.80",124.76
2001-03-05,"1,271.45","1,304.85","1,316.45","1,259.10",121.53
2001-03-07,"1,290.50","1,272.80","1,311.10","1,249.45",104.38
2001-03-08,"1,292.85","1,290.85","1,307.95","1,279.30",60.22
2001-03-09,"1,254.75","1,292.70","1,292.70","1,219.35",60.12
2001-03-12,"1,197.95","1,253.25","1,253.25","1,193.95",54.09
2001-03-13,"1,124.70","1,197.85","1,201.15","1,098.75",69.14
2001-03-14,"1,194.20","1,125.15","1,200.25","1,114.60",42.82
2001-03-15,"1,217.15","1,191.60","1,219.70","1,170.70",47.03
2001-03-16,"1,193.55","1,216.90","1,233.40","1,179.60",51.15
2001-03-19,"1,186.70","1,192.85","1,201.70","1,173.15",29.20
2001-03-20,"1,170.95","1,186.80","1,193.35","1,162.35",29.32
2001-03-21,"1,207.10","1,168.80","1,212.20","1,156.15",30.17
2001-03-22,"1,187.55","1,206.45","1,218.35","1,184.95",33.69
2001-03-23,"1,161.30","1,187.60","1,196.55","1,139.65",35.58
2001-03-26,"1,161.50","1,159.85","1,165.65","1,147.50",22.76
